"tID","FILER_NAME","DATE1_10","IN_TRANSACTION_CODE","AMOUNT_70","nOutTrans","totalOut"
"10016748","LCCP (LIVINGSTON COUNTY CONSERVATIVE PARTY)",2013-10-28,"A",500,4,3983.92
"10016749","LCCP (LIVINGSTON COUNTY CONSERVATIVE PARTY)",2013-10-30,"A",2400,2,426.95
"10016863","LCCP (LIVINGSTON COUNTY CONSERVATIVE PARTY)",2015-04-21,"A",500,5,366.41
"10028332","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-06-27,"A",300,1,1214.25
"10028339","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-05-11,"B",225,1,2635.5
"10028343","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-05-28,"B",175,1,2635.5
"10028357","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-05-28,"G",175,1,2635.5
"10028358","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-06-03,"G",200,2,3849.75
"10028359","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-06-03,"G",175,2,3849.75
"10028362","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-06-27,"G",175,1,1214.25
"10028368","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2013-09-05,"G",5166.93,1,3671.27
"10028370","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2014-06-11,"A",350,2,1164.36
"10028420","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2014-06-11,"C",475,2,1164.36
"10028473","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2015-06-11,"A",250,3,1596.38
"10028475","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2015-06-11,"A",275,3,1596.38
"10028482","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2015-06-11,"A",300,3,1596.38
"10028547","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2015-06-10,"A",275,3,1596.38
"10028564","CHAUTAUQUA COUNTY CONSERVATIVE COMMITTEE",2015-06-10,"G",500,3,1596.38
"1336418","REPUBLICAN ASSEMBLY CAMPAIGN COMMITTEE",1999-07-30,"B",5000,4,24231.98
"1336440","REPUBLICAN ASSEMBLY CAMPAIGN COMMITTEE",1999-07-30,"C",3850,4,24231.98
